cod_unico,direccion,institucion,establecimiento,files,clasificacion,correo,longitud,latitud,pagina
00008390,AVENIDA AV. CANEVARO Nº 550 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,SISOL SALUD LINCE,"""http://maps.google.es/?q=-12.0839839%20-77.0394842,INSASU20200221162952.jpeg,""",POLICLINICOS,jorge.santamaria@sisol.gob.pe,-77.0394842,-12.0839839,http://www.sisol.gob.pe/
00006152,AVENIDA SIMÓN BOLÍVAR ESQUINA JR. MARIANO NECOCHEA S/N DISTRITO VILLA MARIA DEL TRIUNFO PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,CENTRO MATERNO INFANTIL JOSE CARLOS MARIATEGUI,"""http://maps.google.es/?q=-12.147521%20-76.950802,INSASU20240816151638.jpg,INSASU20240816151645.jpg,INSASU20240816151654.jpg,""",CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,cmijosecarlosm6152@gmail.com,-76.950802,-12.147521,https://www.gob.pe/dirislimasur
00007633,AVENIDA AV. HONORIO DELGADO 262 URB. INGENIERIA DISTRITO SAN MARTIN DE PORRES PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL NACIONAL CAYETANO HEREDIA,"""http://maps.google.es/?q=-12.0220216%20-77.0544967,INSASU20190930123536.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,segundo.acho@upch.pe,-77.0544967,-12.0220216,HTTP://WWW.DISAVLC.GOB.PE
00009989,JIRÓN JR. EL POLO 570 MONTERRICO-SANTIAGO DE SURCO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA PADRE LUIS TEZZA,"""http://maps.google.es/?q=-12.10362434%20-76.97213981,INSASU20230718190125.jpg,INSASU20230718190134.jpg,INSASU20230718190145.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,directorageneral@clinicatezza.com.pe,-76.97213981,-12.10362434,
00010858,AVENIDA AV. FRANCISCO TUDELA Y VARELA 102-106- SAN ISIDRO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CAFAE-SE,"""http://maps.google.es/?q=-12.1076979%20-77.0398989,INSASU20240123071915.jpg,INSASU20240123071924.jpg,INSASU20240123071936.jpg,""",POLICLINICOS,SERVICIOSDESALUD@CAFAE-SE.COM.PE,-77.0398989,-12.1076979,HTTP://WWW.CAFAE-SE.COM.PE
00033381,OTROS ASOCIACION -  LA ESTRELLA .AVENIDA - JOSE CARLOS MARIATEGUI NUMERO 364 DISTRITO ATE PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL DE LIMA ESTE -VITARTE,"""http://maps.google.es/?q=-12.0261339%20-76.9173085,INSASU20230630094205.jpeg,INSASU20230630094209.jpeg,INSASU20230630094240.jpeg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,jgarcia@hlev.gob.pe,-76.9173085,-12.0261339,https://www.gob.pe/hlev
00005991,CALLE CALLE LEOPOLDO ARIAS NRO. 200 DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,CENTRO MATERNO INFANTIL DE SALUD VIRGEN DEL CARMEN,"""http://maps.google.es/?q=-12.1659155%20-77.0202982,INSASU20250220075422.jpg,INSASU20250220075416.jpg,INSASU20250220075419.jpg,""",CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,rocio_guillen2000@yahoo.es,-77.0202982,-12.1659155,
00006206,PARQUE PARQUE HISTORIA DE LA MEDICINA PERUANA S/N ALTURA CUADRA 13 AV GRAU NUMERO S/N DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL NACIONAL  DOS DE MAYO,"""""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,direccionadjuntahdosdemayo@gmail.com,,,https://www.hdosdemayo.gob.pe/
00006213,AVENIDA AV. ROOSVELT N° 6355 (EX AV. REPUBLICA DE PANAMA) AV. ROOSVELT N° 6355 (EX AV. REPUBLICA DE PANAMA) MIRAFLORES LIMA LIMA,PUBLICO,HOSPITAL DE EMERGENCIAS JOSÉ CASIMIRO ULLOA,"""http://maps.google.es/?q=-12.12810608%20-77.01773784,INSASU20211129110736.jpg,INSASU20231113115021.jpg,INSASU20231113115123.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,vllacsa@hejcu.gob.pe,-77.01773784,-12.12810608,HTTP://WWW.hejcu.gob.pe
00007639,AVENIDA AVENIDA JOSE ARAMBULO LA ROSA Nº 221-251-271 DISTRITO HUACHO PROVINCIA HUAURA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL REGIONAL DE HUACHO,"""http://maps.google.es/?q=-11.11552309%20-77.60782172,Fotografia_7639_40252678_1462798155433.png,Fotografia_7639_40252678_1462798168278.png,Fotografia_7639_40252678_1462798207870.png,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,direccioneje@hdhuacho.gob.pe,-77.60782172,-11.11552309,HTTP://WWW.HDHUACHO.GOB.PE
