codigo_med,nombre_med,formaf,tipomed
909,ATROPINA SULFATO 500 µg/mL (0.5 mg/mL) 1 mL INYECTABLE,INYECTABLE,M
3703,FURAZOLIDONA 50 mg/5 mL 120 mL SUSPENSION,SUSPENSION,M
47844,CLIP DE TITANIO PARA COSTILLA DE 13 SEGMENTOS   UNIDAD,UNIDAD,I
904,ATORVASTATINA (COMO SAL CALCICA) 40 mg  TABLETA,TABLETA,M
22338,AGUA DESTILADA  4 L SOLUCION,SOLUCION,M
10145,"AGUJA HIPODERMICA DESCARTABLE N° 18 G X 1 1/2""   UNIDAD",UNIDAD,I
10244,ALGODON HIDROFILO  100 g UNIDAD,UNIDAD,I
29457,PASTA DENTIFRICA X 90 g   UNIDAD,UNIDAD,I
3710,FUROSEMIDA 10 mg/mL 2 mL INYECTABLE,INYECTABLE,M
5686,RIFAMPICINA 100 mg/5 mL 60 mL SUSPENSION,SUSPENSION,M
38374,SOPORTE IMPREGNADO CON CLORHEXIDINA 20 cm X 20 cm X 5   UNIDAD,UNIDAD,I
5880,SODIO CLORURO 900 mg/100 mL (0.9 %) 250 mL INYECTABLE,INYECTABLE,M
37986,ESPARADRAPO HIPOALERGENICO DE TELA 5 cm X 9.1 m APROX. X 6 CORTES   UNIDAD,UNIDAD,I
39227,SISTEMA DE IDENTIFICACION + ANTIBIOGRAMA DE BACTERIAS GRAM POSITIVAS   UNIDAD,UNIDAD,I
2836,DICLOXACILINA (COMO SAL SODICA) 500 mg  TABLETA,TABLETA,M
34564,PUNTERA (TIPS) UNIVERSAL PARA PIPETA AUTOMATICA 100 µL - 1000 µL COLOR AZUL X 1000   UNIDAD,UNIDAD,I
1503,CALCITRIOL 0.25 µg  TABLETA,TABLETA,M
12805,"VENDA ELASTICA 3"" X 5 yd   UNIDAD",UNIDAD,I
1043,BENZATINA BENCILPENICILINA 1200000 UI  INYECTABLE,INYECTABLE,M
2003,CLONAZEPAM 500 µg (0.5 mg)  TABLETA,TABLETA,M
2435,SOLUCIONES PARA NUTRICION PARENTERAL  3 L INYECTABLE,INYECTABLE,M
41091,DETERGENTE DESINFECTANTE PARA SUPERFICIES X 750 mL   UNIDAD,UNIDAD,I
45095,KIT DE ROPA DESCARTABLE PARA TOMA DE MUESTRA X 4 PIEZAS   UNIDAD,UNIDAD,I
11338,JABON GERMICIDA LIQUIDO  1 L UNIDAD,UNIDAD,I
15778,CEPILLO DENTAL PARA ADULTO MEDIO   UNIDAD,UNIDAD,I
25873,CHAQUETA Y PANTALON DESCARTABLE TALLA L   UNIDAD,UNIDAD,I
3351,ETONOGESTREL (IMPLANTE) 68 mg  UNIDAD,UNIDAD,M
34847,OXIGENO MEDICINAL  1 L GAS,GAS,M
29477,CAMPO FENESTRADO DESCARTABLE 90 cm X 90 cm   UNIDAD,UNIDAD,I
933,AZITROMICINA 200 mg/5 mL 30 mL SUSPENSION,SUSPENSION,M
44431,FLUOR BARNIZ X 0.5 mL  X 50 UNIDAD,UNIDAD,I
37799,INDICADOR BIOLOGICO DE ESTERILIZACION A PEROXIDO DE HIDROGENO X 30   UNIDAD,UNIDAD,I
10221,ALCOHOL ETILICO (ETANOL) 70° 1 L SOLUCION,SOLUCION,M
6239,TRAMADOL CLORHIDRATO 50 mg  TABLETA,TABLETA,M
18091,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO 400 + 400 mg/5 mL 150 mL SUSPENSION,SUSPENSION,M
6442,"VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION 700 DCI/0.5 mL 5 DOSIS INYECTABLE",INYECTABLE,M
25190,PRUEBA RAPIDA DE HORMONA GONADOTROPINA CORIONICA (HCG)  50 DET KIT,KIT,I
25793,JUEGO DE FORCEP DE USO ODONTOLOGICO X 5 PIEZAS   UNIDAD,UNIDAD,I
30588,FRASCO COLECTOR PARA MUESTRA DE ORINA CON TAPA 100 mL   UNIDAD,UNIDAD,I
43121,CLORHEXIDINA GLUCONATO 2 g/100 mL SOLUCION CON DISPENSADOR DE CIRCUITO CERRADO 1 L  1 L SOLUCION,SOLUCION,M
15047,"AGUJA DENTAL TIPO CARPULE DESCARTABLE Nº 30 G X 1""   UNIDAD",UNIDAD,I
24493,SONDA PERIODONTAL MILIMETRADA   UNIDAD,UNIDAD,I
33271,KIT PARA DETECTAR HEMOGLOBINA DE SANGRE OCULTA EN HECES  1 DET KIT,KIT,I
389,ALOPURINOL 100 mg  TABLETA,TABLETA,M
18886,SUTURA CATGUT CROMICO 2/0 C/A 1/2 CIRCULO REDONDA 30 mm X 70 cm   UNIDAD,UNIDAD,I
2653,DEXAMETASONA 2 mg/5 mL 100 mL ELIXIR,ELIXIR,M
2794,DICLOFENACO (SOLUCION OFTALMICA) 1 mg/mL 5 mL SOLUCION,SOLUCION,M
2754,DIAZEPAM 10 mg  TABLETA,TABLETA,M
5141,OLANZAPINA 10 mg  TABLETA,TABLETA,M
16730,EQUIPO PARA BOMBA DE INFUSION CON VOLUTROL   UNIDAD,UNIDAD,I
23387,GORRO QUIRURGICO DESCARTABLE   UNIDAD,UNIDAD,I
2391,COLCHICINA 500 µg (0.5 mg)  TABLETA,TABLETA,M
53718,ESPARADRAPO HIPOALERGENICO DE PAPEL 5 cm X 9.1 m   UNIDAD,UNIDAD,I
3878,HALOPERIDOL 2 mg/mL 20 mL SOLUCION,SOLUCION,M
625,AMIKACINA (COMO SULFATO) 50 mg/mL 2 mL INYECTABLE,INYECTABLE,M
5281,PARACETAMOL 100 mg/mL 10 mL SOLUCION,SOLUCION,M
4594,MEDROXIPROGESTERONA ACETATO 150 mg/mL 1 mL INYECTABLE,INYECTABLE,M
10155,"AGUJA HIPODERMICA DESCARTABLE N° 23 G X 1""   UNIDAD",UNIDAD,I
32750,BOMBILLA DE JEBE PARA ASPIRACION Nº 04   UNIDAD,UNIDAD,I
23127,MASCARILLA DESCARTABLE QUIRURGICA 3 PLIEGUES   UNIDAD,UNIDAD,I
22308,PAPEL CREPADO 1.20 m X 1.20 m X 125 UNIDADES   UNIDAD,UNIDAD,I
3097,EPINEFRINA (COMO CLORHIDRATO O TARTRATO) 1 mg/mL 1 mL INYECTABLE,INYECTABLE,M
2642,DEXAMETASONA FOSFATO (COMO SAL SODICA) 4 mg/2 mL 2 mL INYECTABLE,INYECTABLE,M
22388,PIEDRA MONTADA PARA DESGASTAR ACRILICO FORMA DE PERA CHICA   UNIDAD,UNIDAD,I
16602,HOJA DE BISTURI DESCARTABLE Nº 21   UNIDAD,UNIDAD,I
23875,VACUNA CONTRA LA INFLUENZA ESTACIONARIA - ADULTO  1 DOSIS (0.5 mL) INYECTABLE,INYECTABLE,M
35342,ESPARADRAPO HIPOALERGENICO DE TELA 5 cm X 9.1 m APROX. X 5 CORTES   UNIDAD,UNIDAD,I
3789,DEXTROSA 5 g/100 mL (5 %) 1 L INYECTABLE,INYECTABLE,M
10151,"AGUJA HIPODERMICA DESCARTABLE N° 21 G X 1 1/2""   UNIDAD",UNIDAD,I
42146,VINAGRE BLANCO  1 Litro UNIDAD,UNIDAD,I
12024,SUTURA CATGUT CROMICO 3/0 C/A 1/2 CIRCULO REDONDA 30 mm X 70 cm   UNIDAD,UNIDAD,I
33557,FOSFATASA ALCALINA CINETICA  1 DET KIT,KIT,I
356,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO) 70 mg  TABLETA,TABLETA,M
25728,TORNILLO DE BLOQUEO 5.0 mm X 24 mm   UNIDAD,UNIDAD,I
10482,"CATETER ENDOVENOSO PERIFERICO Nº 24 G X 3/4""   UNIDAD",UNIDAD,I
25660,OXIDO DE ZINC  450 g UNIDAD,UNIDAD,I
1846,CIPROFLOXACINO (COMO CLORHIDRATO) 500 mg  TABLETA,TABLETA,M
53001,"VACUNA CONTRA COVID19(ARNm)nucleosidos modificados(RAXTOZINOMERAN),PFIZER MANUFACTURING BELGIUM N.V RIJKSWEG(COMIRN 10µg X 0.2mL VIAL 1.3mL  x 10 DOSIS INYECTABLE",INYECTABLE,M
54798,KIT PARA CONTROL POSITIVO PCR EN TIEMPO REAL BASADA EN CHIP PARA MYCOBACTERIUM TUBERCULOSIS - - UNIDAD,UNIDAD,I
18153,BENZATINA BENCILPENICILINA CON DILUYENTE 1200000 UI  INYECTABLE,INYECTABLE,M
20575,OTRAS COMBINACIONES DE MULTIVITAMINAS  1 g POLVO,POLVO,M
5661,RANITIDINA (COMO CLORHIDRATO) 300 mg  TABLETA,TABLETA,M
5873,SODIO CLORURO 900 mg/100 mL (0.9 %) 1 L INYECTABLE,INYECTABLE,M
39329,AGUJA DENTAL TIPO CARPULE DESCARTABLE Nº 31 G x 12 mm   UNIDAD,UNIDAD,I
34474,REACTIVO BENEDICT  250 mL UNIDAD,UNIDAD,I
52433,BRAZALETE DE IDENTIFICACION PEDIATRICO PARA IMPRESORA TERMICA DE PULSERAS CON CIERRE ADHESIVO   UNIDAD,UNIDAD,I
5831,SIMVASTATINA 20 mg  TABLETA,TABLETA,M
36349,CATETER IMPLANTABLE CON PUERTO DE TITANIO 9 FR X 70 cm X 2.6 mm   UNIDAD,UNIDAD,I
18155,AMPICILINA (COMO SAL SODICA) CON DILUYENTE 1 g  INYECTABLE,INYECTABLE,M
910,ATROPINA SULFATO 1 mg/mL 1 mL INYECTABLE,INYECTABLE,M
11734,PROTEINA C REACTIVA  100 DET KIT,KIT,I
725,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA) 250 mg + 62.5 mg/5 mL 60 mL SUSPENSION,SUSPENSION,M
49524,CUBETA DESCARTABLE PARA ANALIZADOR AUTOMATICO DE BIOQUIMICA  X 120 UNIDAD,UNIDAD,I
6432,VACUNA CONTRA LA DIFTERIA Y TETANOS (DT ADULTO)  10 DOSIS INYECTABLE,INYECTABLE,M
12427,SUTURA SEDA NEGRA TRENZADA 5/0 C/A 3/8 CIRCULO CORTANTE 20 mm X 75 cm   UNIDAD,UNIDAD,I
5964,SULFADIAZINA DE PLATA 1 g/100 g 50 g CREMA,CREMA,M
39047,KIT PCR EN TIEMPO REAL PARA DETECCION DE VIRUS PAPILOMA HUMANO VPH  1 DET KIT,KIT,I
29849,MASCARILLA DESCARTABLE TIPO N-95   UNIDAD,UNIDAD,I
37760,FRASCO DE PLASTICO PARA MUESTRA DE HECES DE 40 mL CON TAPA Y ESPATULA   UNIDAD,UNIDAD,I
53103,PRETOMANID 200 mg  TABLETA,TABLETA,M
5986,SULFAMETOXAZOL + TRIMETOPRIMA 200 mg + 40 mg/5 mL 60 mL SUSPENSION,SUSPENSION,M
10326,BAJALENGUA DE MADERA PEDIATRICO   UNIDAD,UNIDAD,I
19718,"CATETER ENDOVENOSO PERIFERICO Nº 22 G X 1"" CON DISPOSITIVO DE BIOSEGURIDAD   UNIDAD",UNIDAD,I
663,AMIODARONA CLORHIDRATO 50 mg/mL 3 mL INYECTABLE,INYECTABLE,M
5588,PREDNISONA 20 mg  TABLETA,TABLETA,M
11192,GORRO DESCARTABLE   UNIDAD,UNIDAD,I
18879,HIPROMELOSA(SOLUCION OFTALMICA) 3 mg/mL 15 mL SOLUCION,SOLUCION,M
31335,LIGADURA PLANA PARA EXTRACCION DE SANGRE DE 45 cm APROX. CON DISPOSITIVO DE AJUSTE Y LIBERACION   KIT,KIT,I
23587,"CATETER ENDOVENOSO PERIFERICO Nº 20 G X 1 1/4"" CON DISPOSITIVO DE SEGURIDAD   UNIDAD",UNIDAD,I
